event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,weight_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,archived_link,project_interested,uid,seizure_kg,conversion_factor
Seizure,Individual,2025-07-23,,2025,7,23,,Cocaine,197.0,Kilogram,Land,Concealed in commercial truck shipment,North America,Canada,Ontario,Point Edward,,,,North America,United States,,,,,,,,Canada,,,,,"Canada Border Services Agency intercepted 197 kg of suspected cocaine hidden in 7 bags inside a commercial truck trailer at Blue Water Bridge, Point Edward, Ontario. Driver Onkar Kalsi, 29, from Caledon, Ontario, arrested; case handed to RCMP.",,,,https://courrierlaval.com/en/197-kg-de-cocaine-interceptes-a-la-frontiere/,Archived Link - Canada,,09ff6c98-d28e-4938-9887-4d09605e86b6,197.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,240.0,Kilogram,Maritime,Interception of motonave off Punta Ardita,South America,Colombia,Chocó,Offshore Punta Ardita,,,,,,,,,,,,,,,,,,"240 kg of cocaine seized from vessel near Punta Ardita, Chocó; AGC blamed.",AGC,,,https://www.bluradio.com/regiones/pacifico/golpe-al-clan-del-golfo-en-choco-incautan-casi-una-tonelada-de-droga-avaluada-en-us-15-millones-rg10,Archived Link - Colombia,,7c8c1c89-3ae2-4ab8-b821-6912971c0481,240.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,240.0,Kilogram,Maritime,Interception of motonave off Punta Ardita,South America,Colombia,Chocó,Offshore Punta Ardita,,,,,,,,,,,,,,,,,,"240 kg of cocaine seized from vessel near Punta Ardita, Chocó; AGC blamed.",AGC,,,https://www.bluradio.com/regiones/pacifico/golpe-al-clan-del-golfo-en-choco-incautan-casi-una-tonelada-de-droga-avaluada-en-us-15-millones-rg10,Archived Link - Colombia,,220d60c3-050a-4106-af08-bc9444a977c2,240.0,1.0
Seizure,Individual,2025-10-03,,2025,10,3,,Cocaine,280.0,Kilogram,Land,Operational raids in Greater Buenos Aires,Europe,Argentina,Buenos Aires,GBA & City,,,,,,,,,,,,,,,,,,Police secured 280 kg of cocaine through raids in GBA and the City of Buenos Aires.,,,,https://www.perfil.com/noticias/amp/policia/secuestran-280-kilos-de-cocaina-en-operativos-en-el-gba-y-la-ciudad.phtml,,,496083cf-3961-4e7c-bd50-b46beb04b56a,280.0,1.0
Seizure,Individual,2025-10-03,,2025,10,3,,Cocaine,280.0,Kilogram,Land,Police operations in Greater Buenos Aires,South America,Argentina,Buenos Aires,AMBA,,,,,,,,,,,,,,,,,,El DFI de la PFA incautó más de 280 kilos de cocaína en el AMBA.,,,,https://www.argentina.gob.ar/noticias/el-dfi-de-la-pfa-incauto-mas-de-280-kilos-de-cocaina-en-el-amba ,,,435576ed-552e-45be-88a9-0222c1c3c4a1,280.0,1.0
Seizure,Individual,2025-10-04,,2025,10,4,,Cocaine,280.0,Kilogram,Land,"Seizure across multiple raids in AMBA (Moreno, Ituzaingó, etc.)",South America,Argentina,Buenos Aires,AMBA,,,,,,,,,,,,,,,,,,"Lot in captivity with the “KTM” logo; 8 stolen. 5 detained; weapons, cell phones, and cars confiscated",,,,https://www.infobae.com/sociedad/policiales/2025/10/04/la-jugada-del-veterano-narco-peruano-vinculado-al-hallazgo-de-280-kilos-de-cocaina/ ,,,0b31c68b-9496-4a0b-89e1-b9bc1f3b4d44,280.0,1.0
Seizure,Individual,2025-05-17,,2025,5,17,,Cocaine,322.0,Kilogram,Maritime,,South America,Ecuador,Esmeraldas,,,,,,,,,,,,,,,,,,,"On May 17, 2025, Ecuadorian police raided a house in the San Martín de Porres neighborhood of Esmeraldas, seizing 322 kg of cocaine and sophisticated diving equipment—buoyancy gear, oxygen tanks, fins—purportedly used to attach the drugs to ship hulls at the port.",,,,https://www.ecuavisa.com/noticias/seguridad/cocaina-cascos-buques-esmeraldas-buzos-AB9355222,Archived Link - Ecuador,,7f37fc01-1d33-4c60-8223-b8ef3ef83e42,322.0,1.0
Seizure,Individual,2025-05-18,,2025,5,18,,Cocaine,322.0,Kilogram,Land,,South America,Ecuador,Esmeraldas,San Martin de Porres,,,,South America,Ecuador,Esmeraldas,San Martin de Porres,,,,,,,,,,,"En la provincia de Esmeraldas, las autoridades encontraron en una casa que funcionaba como centro de acopio de droga 322 kilos de cocaína y equipos de buceo, los cuales sería utilizados para contaminar los barcos.",,,,"https://www.swissinfo.ch/spa/ecuador-incauta-322-kilos-de-coca%C3%ADna-y-equipos-de-buceo-utilizados-para-contaminar-buques/89337834#:~:text=%2D%20La%20Polic%C3%ADa%20de%20Ecuador%20incaut%C3%B3,s%C3%A1bado%20el%20Ministerio%20del%20Interior.",Archived Link - Ecuador,,4ed213b2-6e84-415b-b7d9-cffb6077dad1,322.0,1.0
Seizure,Individual,2025-06-04,,2025,6,4,,Cocaine,400.0,Kilogram,Land,,South America,Brazil,Macapa,abacate da pedreira,,,,,,,,,,,,,,,,,,"Civil and Federal Police seized around 400 kilos of cocaine on wednesday 4th in the Abacate da Pedreira district, in the rural area of ​​Macapá.",,,,https://g1.globo.com/ap/amapa/noticia/2025/06/04/policias-civil-e-federal-realizam-a-maior-apreensao-de-drogas-do-amapa.ghtml,Archived Link - Brazil,,0e8f10cd-914a-419f-b787-d956b4d08511,400.0,1.0
Seizure,Individual,2025-06-05,,2025,6,5,,Cocaine,400.0,Kilogram,Land,,South America,Brazil,Sao Paulo,São José do Rio Preto,,,,,,,,,,,,,,,,,,"the São Paulo State Highway Police (Polícia Rodoviária Estadual) seized over 400 kilograms of cocaine concealed in a false bottom of a semi-trailer during a routine inspection on the Washington Luís Highway (SP-310) in São José do Rio Preto, São Paulo, Brazil.",,,,https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2025/06/05/policia-rodoviaria-apreende-mais-de-400-quilos-de-cocaina-escondidos-em-fundo-falso-de-carreta-em-rio-preto.ghtml ,Archived Link - Brazil,,e88496da-0413-47d3-a506-32f9ae7d920a,400.0,1.0
Seizure,Individual,2025-08-28,,2025,8,28,,Cocaine,509.0,Kilogram,Container,"Oculta en sacos de arroz, poroto y maíz, envuelta en papel carbónico y grasa técnica",South America,Paraguay,Central,Villeta,,,,South America,Paraguay,Central,Villeta,,,,,Europe,Netherlands,,,,,"DNIT y Policía Nacional incautaron 509 kg de cocaína ocultos en contenedor con granos en el puerto de Villeta, con destino declarado a Países Bajos.",,,,https://www.hoy.com.py/nacionales/2025/08/28/incautan-cargamento-de-cocaina-oculta-en-puerto-de-villeta,Archived Link - Paraguay,,b7b40bff-64e4-45a4-a92e-e6ddf143f9a5,509.0,1.0
Seizure,Individual,2025-08-29,,2025,8,29,,Cocaine,509.0,Kilogram,Container,Hidden in export cargo bags with grease masking,South America,Paraguay,Central Department,Villeta,,,,South America,Paraguay,Central Department,Villeta,,,,,Europe,Netherlands,,,,,"Durante una conferencia de prensa este viernes, autoridades de la Dirección Nacional de Ingresos Tributarios (DNIT), la Policía Nacional y de la Secretaría Nacional Antidrogas (Senad) dieron detalles respecto a la incautación de cocina oculta en un cargamento de 24 toneladas de maíz, arroz y poroto. El peso total de la cocaína hallada mimetizada en la mencionada carga asciende a 509 kilogramos. La misma tenía como destino final los Países Bajos, donde su valor podría haber alcanzado los USD 50.000 por kilo, según informaron las autoridades.",,,,https://www.lanacion.com.py/pais/2025/08/29/incautacion-de-droga-en-villeta-se-dio-gracias-a-un-trabajo-conjunto-de-seguridad/,Archived Link - Paraguay,,d0a1dbfd-07e6-4c45-81a8-f9c14afa4ae4,509.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,594.0,Kilogram,Land,Hidden in oil drums with double bottoms inside Toyota Hilux,South America,Argentina,Santiago del Estero,Malbrán (Ruta 34),,,,,,,,,,,,,,,,,,Police seized 594 kg cocaine hidden in oil drums in truck at Ruta 34 checkpoint.,,,,https://www.eltribuno.com/policiales/2025-9-30-0-0-0-dos-saltenos-fueron-detenidos-en-la-ruta-34-con-600-kilos-de-cocaina-valuada-en-4-millones-de-dolares,Archived Link - Argentina,,a90a2703-0f1f-4958-a43a-986802fcd527,594.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,594.0,Kilogram,Land,Hidden in oil drums with double bottoms inside Toyota Hilux,South America,Argentina,Santiago del Estero,Malbrán (Ruta 34),,,,,,,,,,,,,,,,,,Police seized 594 kg cocaine hidden in oil drums in truck at Ruta 34 checkpoint.,,,,https://www.eltribuno.com/policiales/2025-9-30-0-0-0-dos-saltenos-fueron-detenidos-en-la-ruta-34-con-600-kilos-de-cocaina-valuada-en-4-millones-de-dolares,Archived Link - Argentina,,75ca3eb3-bc4d-434e-a750-6863d2a7b808,594.0,1.0
Seizure,Month,2025-09-28,,2025,9,28,,Cocaine,800.0,Kilogram,Land,Multiple seizures totaling 800 kg,Caribbean,Dominican Republic,,,,,,,,,,,,,,,,,,,,Authorities seized more than 800 kg of mixed drugs in Dominican Republic.,,,,https://acento.com.do/actualidad/autoridades-incautan-mas-de-800-mil-gramos-de-distintas-drogas-9556717.html,Archived Link - Dominican Republic,,020f20ca-9875-4375-93f4-187f08815c2e,800.0,1.0
Seizure,Month,2025-09-28,,2025,9,28,,Cocaine,800.0,Kilogram,Land,Multiple seizures totaling 800 kg,Caribbean,Dominican Republic,,,,,,,,,,,,,,,,,,,,Authorities seized more than 800 kg of mixed drugs in Dominican Republic.,,,,https://acento.com.do/actualidad/autoridades-incautan-mas-de-800-mil-gramos-de-distintas-drogas-9556717.html,Archived Link - Dominican Republic,,faea3232-b272-41b0-bec8-86560207e4a7,800.0,1.0
Seizure,Other (explain in Description),2025-09-30,,2025,9,30,,Cocaine,1000.0,Package,Container,Container,Central America,Panama,"Colón, Panamá",,,,,,,,,,,,,,,,,,,"Panama prosecutors seized over 1,000 packages of cocaine in two separate container operations.",,,,https://ministeriopublico.gob.pa/notas-de-prensa/fiscalia-de-droga-decomisa-mas-de-mil-paquetes-de-droga-en-dos-operaciones-distintas/,Archived Link - Panama,,8dd741c5-fc4f-4f1d-a868-97c1fe188de7,1000.0,1.0
Seizure,Other (explain in Description),2025-09-30,,2025,9,30,,Cocaine,1000.0,Package,Container,Container,Central America,Panama,"Colón, Panamá",,,,,,,,,,,,,,,,,,,"Panama prosecutors seized over 1,000 packages of cocaine in two separate container operations.",,,,https://ministeriopublico.gob.pa/notas-de-prensa/fiscalia-de-droga-decomisa-mas-de-mil-paquetes-de-droga-en-dos-operaciones-distintas/,Archived Link - Panama,,1b839f63-ec8a-4ad0-ac76-3f1a199a5090,1000.0,1.0
Seizure,Individual,2025-07-13,,2025,7,13,,Cocaine,1045.0,Kilogram,Maritime,,Caribbean,Haiti,Nord-Ouest,Tortue Island,,,,,,,,,,,,,,,,,,"Haitian National Police seized 1,045 kilos of cocaine on Tortue Island, in the North-West department, confiscated a boat, arrested an individual, and killed several others an exchange of gunfire",,,,https://www.alterpresse.org/spip.php?article31942,Archived Link - Haiti,,13420f3d-bd29-42a0-9136-ac31d153c9f2,1045.0,1.0
Seizure,Individual,2025-07-13,,2025,7,13,,Cocaine,1045.0,Kilogram,Maritime,,Caribbean,Haiti,Nord-Ouest,Turtle Island,,,,,,,,,,,,,,,,,,"Two Jamaicans and a Bahamian were killed in Haiti in a shootout with police during an anti-drug operation in which 1,045 kilos of cocaine were seized",,,,https://lenouvelliste.com/article/258040/la-pnh-intercepte-1-045-kg-de-cocaine-au-large-du-nord-ouest,Archived Link - Haiti,,ed3deef7-6c83-4925-9909-e7aa5945a73f,1045.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,1073.0,Kilogram,Container,Containers in port; SENAN operation,Central America,Panama,Panamá,Panama Pacific terminal,,,,South America,Ecuador,,,,,,,,,,,,,Over 1 ton of cocaine seized in containers; one shipment from Ecuador.,,,,http://www.critica.com.pa/nacional/decomisan-mas-de-una-tonelada-de-pichi-en-contenedores-498138,Archived Link - Panama,,a84d291a-05a7-466c-9e2e-1e86679e402c,1073.0,1.0
Seizure,Individual,2025-09-30,,2025,9,30,,Cocaine,1073.0,Kilogram,Container,Containers in port; SENAN operation,Central America,Panama,Panamá,Panama Pacific terminal,,,,South America,Ecuador,,,,,,,,,,,,,Over 1 ton of cocaine seized in containers; one shipment from Ecuador.,,,,http://www.critica.com.pa/nacional/decomisan-mas-de-una-tonelada-de-pichi-en-contenedores-498138,Archived Link - Panama,,cd604e19-eab8-4f5f-9c26-bee8fa150714,1073.0,1.0
Seizure,Individual,2025-10-02,,2025,10,2,,Cocaine,1200.0,Kilogram,Land,Seized in transport operation,South America,Brazil,Rio Grande do Norte,Natal,,,,,,,,,,,,,,,,,,PF seized 1.2 tonnes of cocaine in Natal.,,,,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/10/02/apreensao-pf-rn.ghtml ,,,6d8a4193-6fc2-4747-b483-650ee1f4b908,1200.0,1.0
Seizure,Individual,2025-10-02,,2025,10,2,,Cocaine,1200.0,Kilogram,Land,Follow-up investigation targeting ex-police officer,South America,Brazil,Rio Grande do Norte,Natal,,,,,,,,,,,,,,,,,,Ex-police officer investigated after seizure of 1.2 tonnes of cocaine in Natal.,,,,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2025/10/02/policial-reformado-e-alvo-de-buscas-apos-apreensao-de-12-tonelada-de-cocaina-em-natal.ghtml ,,,a2322440-5491-4ad8-87cb-fa2dc2882cbb,1200.0,1.0
Seizure,Individual,2025-09-28,,2025,9,28,,Other (explain in Description),1200.0,Kilogram,Container,Cocaine mixed into 1.2 ton molasses shipment,South America,Netherlands,,,,,,,,,,,,,,,,,,,,Netherlands seized cocaine hidden in molasses from Ecuador; linked to Los Shottas.,Los Shottas,,,https://www.elcolombiano.com/colombia/shottas-exportan-cocaina-decomiso-paises-bajos-melaza-paz-total-BJ29577789,Archived Link - Netherlands,,63e397ab-f670-472e-8645-d2dcca241305,1200.0,1.0
Seizure,Individual,2025-09-28,,2025,9,28,,Other (explain in Description),1200.0,Kilogram,Container,Cocaine mixed into 1.2 ton molasses shipment,South America,Netherlands,,,,,,,,,,,,,,,,,,,,Netherlands seized cocaine hidden in molasses from Ecuador; linked to Los Shottas.,Los Shottas,,,https://www.elcolombiano.com/colombia/shottas-exportan-cocaina-decomiso-paises-bajos-melaza-paz-total-BJ29577789,Archived Link - Netherlands,,31528f74-b144-4901-89e2-a7a98bbddff1,1200.0,1.0
Seizure,Individual,2025-05-29,,2025,5,29,,Cocaine,1200.0,Kilogram,Land,,South America,Peru,Mariscal Ramón Castilla,,,,,,,,,,,,,,United States,,,,,"Peruvian police seized 1.2 tons of cocaine in the province of Mariscal Ramón Castilla, Peru, a town near the border with Putumayo.",,,,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/las-conexiones-de-la-incautacion-de-mas-de-tonelada-de-cocaina-en-peru-con-los-grupos-armados-en-colombia-3458598,Archived Link - Peru,,2bf12c90-7ade-421b-8762-fc4e23eda3c2,1200.0,1.0
