uid,issue_type,row_position,column,aligned_value,db_test_value,aligned_normalized,db_test_normalized
8497152d-3a1d-432b-80a1-109eed0dade2,different_values,30,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
8497152d-3a1d-432b-80a1-109eed0dade2,different_values,30,modus_operandi/place_seizure,,Land,,land
0c41c551-2cd6-47dc-abbe-48f80742bc16,different_values,31,date_1,2025-03-29,2025-03-29 00:00:00,2025-03-29,2025-03-29 00:00:00
6440d45f-de67-44f4-a51f-ddf8e11a85e9,different_values,32,date_1,2025-01-01,2025-01-01 00:00:00,2025-01-01,2025-01-01 00:00:00
6440d45f-de67-44f4-a51f-ddf8e11a85e9,different_values,32,date_2,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
e840fa86-82d0-487a-a949-014e62f89bc9,different_values,33,date_1,2025-03-29,2025-03-29 00:00:00,2025-03-29,2025-03-29 00:00:00
ae635622-5940-43bd-9e1a-abfe871ab555,different_values,34,date_1,2025-03-26,2025-03-26 00:00:00,2025-03-26,2025-03-26 00:00:00
ae635622-5940-43bd-9e1a-abfe871ab555,different_values,34,department/state,,Parish of Kingston,,parish of kingston
f4046f23-7d93-4d1c-b57e-4fb2144c7d44,different_values,35,date_1,2025-03-28,2025-03-28 00:00:00,2025-03-28,2025-03-28 00:00:00
f1a75ac9-6f14-4c8e-b308-bbd8804b1448,different_values,36,date_1,2025-03-22,2025-03-22 00:00:00,2025-03-22,2025-03-22 00:00:00
17b8476f-00f2-469a-b82c-df61f5705647,different_values,37,date_1,2025-03-27,2025-03-27 00:00:00,2025-03-27,2025-03-27 00:00:00
17b8476f-00f2-469a-b82c-df61f5705647,different_values,37,department/state,,Ática,,ática
ada1a3e7-5893-4df2-9898-587aa2448fce,different_values,38,date_1,2025-03-25,2025-03-25 00:00:00,2025-03-25,2025-03-25 00:00:00
ada1a3e7-5893-4df2-9898-587aa2448fce,different_values,38,department/state,,Madrid,,madrid
68249bd3-b1db-440d-a151-2a3634580549,different_values,39,date_1,2025-03-28,2025-03-28 00:00:00,2025-03-28,2025-03-28 00:00:00
68249bd3-b1db-440d-a151-2a3634580549,different_values,39,department/state,,Panama,,panama
bedc3e96-7f7b-429b-9862-adfc5ef4fbff,different_values,40,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
bedc3e96-7f7b-429b-9862-adfc5ef4fbff,different_values,40,modus_operandi/place_seizure,,Maritime vessel,,maritime vessel
fe8b0a4f-3ec4-43b4-a99e-b9c4aebb2fd4,different_values,41,date_1,2025-03-28,2025-03-28 00:00:00,2025-03-28,2025-03-28 00:00:00
fe8b0a4f-3ec4-43b4-a99e-b9c4aebb2fd4,different_values,41,department/state,,Calabria,,calabria
7601dae1-bda6-4de5-ae14-c039ce597386,different_values,42,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
3653cf03-e1e4-4cec-998e-47ec66f76c14,different_values,43,date_1,2025-03-30,2025-04-01 00:00:00,2025-03-30,2025-04-01 00:00:00
3653cf03-e1e4-4cec-998e-47ec66f76c14,different_values,43,date_2,2025-03-31,2025-04-01 00:00:00,2025-03-31,2025-04-01 00:00:00
3653cf03-e1e4-4cec-998e-47ec66f76c14,different_values,43,month,3,4,3,4
3653cf03-e1e4-4cec-998e-47ec66f76c14,different_values,43,day,30,1,30,1
3653cf03-e1e4-4cec-998e-47ec66f76c14,different_values,43,duration,1,,1,
fbf18cc9-5487-411f-8364-a044c53a8357,different_values,44,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
fbf18cc9-5487-411f-8364-a044c53a8357,different_values,44,department/state,,Catalunia,,catalunia
acdb4924-0bc7-4646-aab1-fbd177767d45,different_values,45,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
6c1b3bc3-e590-4ee4-aca2-60780784a766,different_values,46,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
e13be189-3808-40a2-921e-df33bea7def7,different_values,47,date_1,2025-03-27,2025-04-01 00:00:00,2025-03-27,2025-04-01 00:00:00
e13be189-3808-40a2-921e-df33bea7def7,different_values,47,date_2,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
e13be189-3808-40a2-921e-df33bea7def7,different_values,47,month,3,4,3,4
e13be189-3808-40a2-921e-df33bea7def7,different_values,47,day,27,1,27,1
e13be189-3808-40a2-921e-df33bea7def7,different_values,47,duration,5,0,5,0
c2eaceb2-1206-4acd-8309-27e5b8778eff,different_values,48,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
e32f5ec4-d27b-45c0-8da6-d52920fe4a81,different_values,49,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
b5383148-cfe8-42cb-bd81-2aeed6b539c6,different_values,50,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
e4a7c5a6-1725-419e-98cd-6bf9fdb32245,different_values,51,date_1,2025-01-01,2025-01-01 00:00:00,2025-01-01,2025-01-01 00:00:00
e4a7c5a6-1725-419e-98cd-6bf9fdb32245,different_values,51,date_2,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
e4a7c5a6-1725-419e-98cd-6bf9fdb32245,different_values,51,modus_operandi/place_seizure,,Multiple,,multiple
fd133c27-3e21-478a-83f5-15ce9d7dfa3d,different_values,52,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
c8f07c66-3b34-4b8f-9241-51934cf41c9f,different_values,53,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
60f5155f-c800-4828-99cb-429f68f78a13,different_values,54,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
4fbd15ab-2e80-4512-8d67-e3b3048a9788,different_values,55,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
6cb20774-6d41-497e-b064-da51b2d17f86,different_values,56,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
6cb20774-6d41-497e-b064-da51b2d17f86,different_values,56,department/state,,Gangwon,,gangwon
9798f279-546a-4aa6-b3bf-2d04e012c912,different_values,57,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
e2c93b11-2f9a-4ddc-a63a-bfe847499783,different_values,58,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
f6ea34ae-f7c6-41ee-81ce-6b6a349f141d,different_values,59,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
11aa4b32-a624-4022-b518-8c41ff6ce13e,different_values,60,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
59645a10-ce2d-4809-b989-c7c6a697ca2f,different_values,61,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
71302718-9676-40cd-aac3-63bb87fe9191,different_values,62,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
5ef33f99-5ba6-4c73-a273-ad2dd3696a06,different_values,63,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
cb56b37d-fcd0-4b59-9a10-120ca2241fa8,different_values,64,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
cb56b37d-fcd0-4b59-9a10-120ca2241fa8,different_values,64,modus_operandi/place_seizure,,Air,,air
cb56b37d-fcd0-4b59-9a10-120ca2241fa8,different_values,64,sub_modus_operandi,,Commercial flight,,commercial flight
28978574-de3a-4993-ad21-1bbf13a60466,different_values,65,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
28978574-de3a-4993-ad21-1bbf13a60466,different_values,65,municipality/port,,Piedras Negras,,piedras negras
109639af-cc84-49b4-adf8-146c06360665,different_values,66,date_1,2025-04-04,2025-04-04 00:00:00,2025-04-04,2025-04-04 00:00:00
ad72e581-94b2-4983-878d-54ea4765ec11,different_values,67,date_1,2025-04-04,2025-04-04 00:00:00,2025-04-04,2025-04-04 00:00:00
33979685-dcba-4cbb-8416-b8c985ec6c48,different_values,68,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
6d55945d-d77c-4707-976a-cdacc4fbd10e,different_values,69,date_1,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
dd1a6e16-5264-44f5-bc96-cacaa67e8650,different_values,70,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
8850debb-cdc0-4053-a4b5-e5079f6e593f,different_values,71,date_1,2025-04-04,2025-04-04 00:00:00,2025-04-04,2025-04-04 00:00:00
af131cb4-257e-4deb-9f85-e5574f15ca68,different_values,72,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
91b48526-15bf-4dba-bc32-e7e8e6eeec61,different_values,73,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
ea4ab03c-0ae3-440d-ba71-0de457193606,different_values,74,date_1,2025-04-04,2025-04-04 00:00:00,2025-04-04,2025-04-04 00:00:00
f78586e6-95b3-4a5a-9422-c99c8118b279,different_values,75,date_1,2025-01-01,2025-01-01 00:00:00,2025-01-01,2025-01-01 00:00:00
f78586e6-95b3-4a5a-9422-c99c8118b279,different_values,75,date_2,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
f78586e6-95b3-4a5a-9422-c99c8118b279,different_values,75,modus_operandi/place_seizure,,Multiple,,multiple
87e5f58a-233b-4b5e-b76c-7ecedbf38c49,different_values,76,date_1,2025-03-30,2025-03-30 00:00:00,2025-03-30,2025-03-30 00:00:00
379c3642-ea21-484c-8b77-f3ddcd38a7b7,different_values,77,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
1b1cb2f4-a4de-4800-924f-ba97dd957e45,different_values,78,date_1,2025-03-29,2025-03-29 00:00:00,2025-03-29,2025-03-29 00:00:00
1b1cb2f4-a4de-4800-924f-ba97dd957e45,different_values,78,date_2,2025-04-01,2025-04-01 00:00:00,2025-04-01,2025-04-01 00:00:00
536f9d15-7593-4c69-a3b3-d66742ed48c1,different_values,79,date_1,2025-03-31,2025-03-31 00:00:00,2025-03-31,2025-03-31 00:00:00
6e875c40-6c0a-4479-8f3d-54f93871d1e0,different_values,80,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
bfbce46e-425b-4af5-ad5f-184fd03f7e13,different_values,81,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
00626a6c-010c-4e7f-9d71-cee1d681a37f,different_values,82,date_1,2025-04-02,2025-04-02 00:00:00,2025-04-02,2025-04-02 00:00:00
33343ef7-bb0b-42b2-9938-c048f6362ae7,different_values,83,date_1,2025-04-07,2025-04-07 00:00:00,2025-04-07,2025-04-07 00:00:00
cb998b27-22b3-451c-bc1e-e08979c5b0ec,different_values,84,date_1,2025-04-07,2025-04-07 00:00:00,2025-04-07,2025-04-07 00:00:00
9ae1747e-2f6e-45d8-ac3e-adaa958425e8,different_values,85,date_1,2025-04-08,2025-04-08 00:00:00,2025-04-08,2025-04-08 00:00:00
10bb72ca-d225-4611-972b-8ba3592a28fe,different_values,86,date_1,2025-04-09,2025-04-09 00:00:00,2025-04-09,2025-04-09 00:00:00
d0a71227-d002-4ea3-969c-b0cdf180f9be,different_values,87,date_1,2025-04-08,2025-04-08 00:00:00,2025-04-08,2025-04-08 00:00:00
d2942c74-14aa-423c-b69f-e1c5e55d8d62,different_values,88,date_1,2025-04-03,2025-04-03 00:00:00,2025-04-03,2025-04-03 00:00:00
b68c1fe2-4aeb-4a10-b42b-83680a4b3ffb,different_values,89,date_1,2025-04-08,2025-04-08 00:00:00,2025-04-08,2025-04-08 00:00:00
c5efc820-07bc-4f01-a6af-ca7fb698aa8b,different_values,90,date_1,2025-04-08,2025-04-08 00:00:00,2025-04-08,2025-04-08 00:00:00
56d9c5cb-01e7-4e67-9589-5b62af77767a,different_values,91,date_1,2025-04-07,2025-04-07 00:00:00,2025-04-07,2025-04-07 00:00:00
e48e559a-83c9-4a59-b5cd-d500928cb16b,different_values,92,date_1,2025-04-07,2025-04-07 00:00:00,2025-04-07,2025-04-07 00:00:00
5d50be39-28fb-48e9-a87e-4b885f64ada1,different_values,93,date_1,2025-04-07,2025-04-07 00:00:00,2025-04-07,2025-04-07 00:00:00
d6ee450a-a80d-497e-b99b-29161e752694,different_values,94,date_1,2025-04-06,2025-04-06 00:00:00,2025-04-06,2025-04-06 00:00:00
d0c7342b-ef52-42e5-90c0-1ee22fa995e7,different_values,95,date_1,2025-04-05,2025-04-05 00:00:00,2025-04-05,2025-04-05 00:00:00
00fc4a73-956b-4744-bad1-36a66b49e313,different_values,96,date_1,2025-04-04,2025-04-04 00:00:00,2025-04-04,2025-04-04 00:00:00
43aefeeb-e0cb-4488-9f95-4bb9fc531531,different_values,97,date_1,2025-04-13,2025-04-13 00:00:00,2025-04-13,2025-04-13 00:00:00
4bccd960-040b-47d9-92ae-06500f475e34,different_values,98,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
4bccd960-040b-47d9-92ae-06500f475e34,different_values,98,department/state,Sao Paulo,São Paulo,sao paulo,são paulo
4bccd960-040b-47d9-92ae-06500f475e34,different_values,98,municipality/port,,Assis,,assis
f3e925a2-443d-4649-9e0e-d7b0cb32032e,different_values,99,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
f3e925a2-443d-4649-9e0e-d7b0cb32032e,different_values,99,department/state,Sao Paulo,São Paulo,sao paulo,são paulo
be65fef8-9173-47c6-b1ef-87e4c30b007c,different_values,100,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
9ca017ad-7d9e-4a0c-a720-7618c668a216,different_values,101,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
f6122b53-8468-4df5-81aa-00ae2d6cd51d,different_values,102,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
2c3d5229-10b2-4775-8d4f-8fce3c603347,different_values,103,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
b8f733c4-26fb-4b13-90c9-1b1250261c6d,different_values,104,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
5f866e44-b782-4b66-a860-baff46b79818,different_values,105,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
10a79e33-ee72-4620-a208-48067e11639c,different_values,106,date_1,2025-04-13,2025-04-13 00:00:00,2025-04-13,2025-04-13 00:00:00
c2250968-842b-4ba2-8f69-fd6b8d67ff63,different_values,107,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
6229c554-9d51-4cc5-bd11-7f71b5e9c3cf,different_values,108,date_1,2025-04-10,2025-04-10 00:00:00,2025-04-10,2025-04-10 00:00:00
e65c12c6-d5a8-431b-b14b-46f945c72b5b,different_values,109,date_1,2025-02-02,2025-02-02 00:00:00,2025-02-02,2025-02-02 00:00:00
3e085498-2866-4285-a474-391d9f629e37,different_values,110,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
c52e517b-29b2-4d19-b926-356032576e48,different_values,111,date_1,2025-04-13,2025-04-13 00:00:00,2025-04-13,2025-04-13 00:00:00
e05e2ef4-936d-4fb3-8f1a-b23c3a71ad2d,different_values,112,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
d3a3c2d5-cad8-4e28-98d0-a4e7628f0bf6,different_values,113,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
8f77ebaa-7623-4309-8cdf-47f4355fe0b5,different_values,114,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
4e389f69-7ef1-4bef-b385-d711d6d304ea,different_values,115,date_1,2025-04,2025-04-01 00:00:00,2025-04,2025-04-01 00:00:00
4e389f69-7ef1-4bef-b385-d711d6d304ea,different_values,115,date_2,,2025-04-17 00:00:00,,2025-04-17 00:00:00
4e389f69-7ef1-4bef-b385-d711d6d304ea,different_values,115,day,,1,,1
4e389f69-7ef1-4bef-b385-d711d6d304ea,different_values,115,duration,,16,,16
f34fc5bb-a557-4c43-9dbf-65cd41dfd6ef,different_values,116,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
12f5fe84-ab5e-493b-ae95-45c62d63651e,different_values,117,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
1c0423a2-d8a4-4332-9851-3dd63dc7e5bb,different_values,118,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
8c8ec65d-37d7-4e17-8d96-9f8f7a02d5d2,different_values,119,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
65bfc755-f5a7-4a66-bc5f-35e922d9f927,different_values,120,date_1,2025-04-13,2025-04-13 00:00:00,2025-04-13,2025-04-13 00:00:00
de1a4444-0f47-4b74-8b7f-4323dce2cb0d,different_values,121,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
07c6338e-249a-4c3b-9d03-61caf2f94c30,different_values,122,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
b982b75a-d813-42b6-b01f-c8ab75e2906e,different_values,123,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
01021e5d-1fd5-429f-9308-1c14240e21d6,different_values,124,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
f475bd08-4f43-4973-b5a8-caaa3e27bef2,different_values,125,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
cfacadc7-940a-4bc6-bde9-708740610f9b,different_values,126,date_1,2025-04-17,2025-04-17 00:00:00,2025-04-17,2025-04-17 00:00:00
6762200f-c236-4683-9f63-ab4809ba6449,different_values,127,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
bba2f78a-3ea4-43db-afb1-fac2f5066271,different_values,128,date_1,2025-04-09,2025-04-09 00:00:00,2025-04-09,2025-04-09 00:00:00
9bdadb34-3807-4b77-b66c-3030c261a0dc,different_values,129,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
61d05fec-5f44-4ce7-b6bd-44db29edc9de,different_values,130,date_1,2025-04-09,2025-04-09 00:00:00,2025-04-09,2025-04-09 00:00:00
5be53b5d-fe9c-41f5-bad0-c2ec60000ff1,different_values,131,date_1,2025-04-11,2025-04-11 00:00:00,2025-04-11,2025-04-11 00:00:00
5be53b5d-fe9c-41f5-bad0-c2ec60000ff1,different_values,131,department/state,,Cabo Verde,,cabo verde
a8ac5d96-6efb-4338-b490-4b93e68e7c9a,different_values,132,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
5859f8c1-2a11-4e5e-9136-4d4e28ebaa47,different_values,133,date_1,2025-04-12,2025-04-12 00:00:00,2025-04-12,2025-04-12 00:00:00
aba39540-dae7-43e3-b289-4a14f1f6b91f,different_values,134,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
1327d10b-4f9f-4bfe-995d-d6f257fbe8be,different_values,135,date_1,2025-04-16,2025-04-16 00:00:00,2025-04-16,2025-04-16 00:00:00
5ca542b8-607a-43d0-aa13-804d92cfd4ec,different_values,136,date_1,2025-04-15,2025-04-15 00:00:00,2025-04-15,2025-04-15 00:00:00
f409b6ad-99b7-4ff4-96c4-734940942f94,different_values,137,date_1,2025-04-14,2025-04-14 00:00:00,2025-04-14,2025-04-14 00:00:00
9c6d05f4-1595-42fb-80df-80071b6bb36a,different_values,138,date_1,2025-04-18,2025-04-18 00:00:00,2025-04-18,2025-04-18 00:00:00
e922ee05-4791-4790-8503-d56e46076e61,different_values,139,date_1,2025-04-17,2025-04-17 00:00:00,2025-04-17,2025-04-17 00:00:00
97023bfc-673c-492f-b7c3-eb2f04758586,different_values,140,date_1,2025-04-21,2025-04-21 00:00:00,2025-04-21,2025-04-21 00:00:00
34d44c5e-ccde-462e-872d-081047b3f261,different_values,141,date_1,2025-04-21,2025-04-21 00:00:00,2025-04-21,2025-04-21 00:00:00
39ca8144-ee0f-4234-bd0b-c9e54a03b316,different_values,142,date_1,2025-04-21,2025-04-21 00:00:00,2025-04-21,2025-04-21 00:00:00
e25884ee-8ab4-4bb3-823a-5b4218fc68c9,different_values,143,date_1,2025-04-20,2025-04-20 00:00:00,2025-04-20,2025-04-20 00:00:00
