event_type,time_unit,date_1,date_2,year,month,day,duration,drug_type,quantity,weight_unit,modus_operandi,sub_modus_operandi,region,country,department/state,municipality/port,origin_country,origin_area,origin_municipality,transit_1_region,transit_1_country,transit_1_department/state,transit_1_municipality/port,transit_2_region,transit_2_country,transit_2_department/state,transit_2_municipality/port,destination_1_region,destination_1_country,destination_1_department/state,destination_1_municipality/port,destination_2_country,destination_2_municipality/port,description,criminal_group_1,criminal_group_2,criminal_group_3,source_link,archived_link,project_interested,uid
Seizure,Individual,2025-08-14,,2025,8,14,,Other (explain in Description),2.5,Kilogram,Land,"Hidden in suitcase, detected via sniffer dog",South America,Chile,Bío Bío Region,Cabrero,,,,South America,Chile,Bío Bío Region,Cabrero,,,,,,,,,,,"A Colombian national, in irregular status, was arrested at a roadside control on Route 5 Sur in Cabrero, Bío Bío Region, carrying 2.5 kg of cocaine (hydrochloride and base paste) in his luggage, detected by OS‑7 sniffer dogs.",,,,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2025/08/14/detienen-a-extranjero-que-transportaba-en-bus-2-kilos-y-medio-de-cocaina-y-pasta-base-en-cabrero.shtml,Archived Link - Chile,,94233975-7da0-4240-b61a-da707562f3bf
Seizure,Individual,2025-07-08,,2025,7,8,,Cocaine,3.0,Kilogram,Air,,South America,Brazil,Santa Catarina,Florianopolis,,,,,,,,,,,,Europe,France,Ile de la Cite,Paris,,,"Un hombre de 23 años fue arrestado por tráfico internacional de drogas tras intentar abordar un vuelo con aproximadamente 3 kilogramos de cocaína atados a las piernas. Fue descubierto en el Aeropuerto Internacional Hercílio Luz de Florianópolis , con destino a París , Francia.",,,,https://g1.globo.com/sc/santa-catarina/noticia/2025/07/08/homem-viagem-paris-preso-cocaina-aeroporto-florianopolis.ghtml,Archived Link - Brazil,,e5c14ab6-e3b3-47ee-8cab-2b7b2e0f2415
Seizure,Individual,2025-07-23,,2025,7,23,,Cocaine,3.0,Kilogram,Air,False compartment in bag,South America,Brazil,São Paulo,Guarulhos Airport,,,,,,,,,,,,Asia,Qatar,,Doha,,,Surinamese man caught with 3kg of cocaine hidden in a false compartment of his suitcase at São Paulo airport; arrested before boarding flight to Qatar.,,,,https://www.waterkant.net/suriname/2025/07/28/surinamer-met-drugs-aangehouden-op-luchthaven-sao-paulo/,Archived Link - Brazil,,9b5563ee-279f-4fcb-8cdd-e2dc4822379e
Seizure,Individual,2025-04-08,,2025,4,8,,Cocaine Base,3.0,Kilogram,Land,,South America,Brazil,Goiás,Jataí,,,,,,,,,,,,,,,,,,"La Policía Federal de Carreteras incautó aproximadamente 3 kg de pasta base de cocaína durante una inspección en el km 198 de la BR-364, en el municipio de Jataí, región suroeste de Goiás.",,,,https://www.gov.br/prf/pt-br/noticias/estaduais/goias/2025/abril/cocaina-escondida-em-porta-de-carro-e-apreendida-na-br-364-em-jatai,Archived Link - Brazil,,d43fce43-c6c3-4ca8-bb78-d8d2e1805d8e
Seizure,Individual,2025-06-10,,2025,6,10,,Cocaine,3.0,Kilogram,Land,,South America,Brazil,Bahía,Jequié,,,,,,,,,,,,,,,,,,"Una mujer fue arrestada la mañana del martes (10) por tráfico de drogas tras ser descubierta con aproximadamente 3 kilos de pasta base de cocaína dentro de un autobús interestatal. La incautación se produjo durante una inspección de la Policía Federal de Carreteras (PRF) en el kilómetro 677 de la BR-116, en Jequié, al suroeste de Bahía.",,,,https://www.gov.br/prf/pt-br/noticias/estaduais/bahia/2025/junho/prf-apreende-3-kg-de-cocaina-em-onibus-na-br-116-em-jequie-ba,Archived Link - Brazil,,72da3dd5-80f7-4c79-89ba-c8a57165b4a2
Seizure,Individual,2025-04-15,,2025,4,15,,Cocaine,5.0,Kilogram,Land,,South America,Brazil,Mato Grosso do Sul,Campo Grande,,,,,,,,,,,,,Brazil,Mato Grosso do Sul,Tres Lagoas,,,"Tres Lagunas/MS.  La Policía Federal detuvo este lunes (14/4) a dos mujeres por tráfico de drogas. La acción ocurrió después de una denuncia anónima de que dos personas transportaban estupefacientes en un autobús que salió de Campo Grande/MS con destino a Três Lagoas/MS. Ante la situación, policías federales se acercaron al vehículo y encontraron junto a las mujeres aproximadamente 5 kilos de cocaína. Los pasajeros fueron llevados a la Comisaría de la Policía Federal de Três Lagoas/MS y acusados ​​de tráfico de drogas.",,,,https://www.gov.br/pf/pt-br/assuntos/noticias/2025/04/pf-prende-em-flagrante-duas-pessoas-pelo-crime-de-trafico-de-drogas-em-tres-lagoas-ms,Archived Link - Brazil,MAD,8f5110ed-993a-4679-a86b-f838e144c441
Seizure,Individual,2025-06-18,,2025,6,18,,Cocaine Base,5.0,Kilogram,Land,,South America,Brazil,Santa Catarina,Palhoça,,,,South America,Brazil,Santa Catarina,Palhoça,,,,,,,,,,,El conductor de un vehículo fue detenido en Santa Catarina mientras transportaba 5 kilos de pasta base y 20 kilos de clorhidrato de cocaína.,,,,https://www.gov.br/prf/pt-br/noticias/estaduais/santa-catarina/motorista-tenta-fugir-da-prf-na-grande-florianopolis-e-e-pego-com-25-quilos-de-cocaina,Archived Link - Brazil,,e9574038-37c8-4e5f-8c95-471eb4214e82
Seizure,Individual,2025-08-20,,2025,8,20,,Cocaine,5.0,Kilogram,Land,,South America,Brazil,Sergipe,Nossa Senhora do Socorro,,,,South America,Brazil,Sergipe,Nossa Senhora do Socorro,,,,,,,,,,," los equipos localizaron y confiscaron 5 kg de clorhidrato de cocaína y 3 kg de hachís, así como municiones de pistola calibre .380 intactas, dos cargadores y un vehículo.",,,,https://www.gov.br/pf/pt-br/assuntos/noticias/2025/08/ficco-se-apreende-drogas-municoes-e-veiculo-em-nossa-senhora-do-socorro,Archived Link - Brazil,,24d3c628-0c92-484c-88c0-5dda8e93a76a
Seizure,Individual,2025-07-14,,2025,7,14,,Cocaine,7.0,Kilogram,Land,,South America,Brazil,São Paulo,Presidente Bernardes ,,,,,,,,,,,,,,,,,,"A Bolivian was arrested after transporting seven kilos of cocaine hidden inside beets at km 585 of the Raposo Tavares Highway (SP-270), in Presidente Bernardes (SP)",,,,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/2025/07/14/boliviano-e-preso-ao-transportar-7kg-de-cocaina-escondidos-dentro-de-beterrabas-em-presidente-bernardes.ghtml,Archived Link - Brazil,,1e097464-5371-4c14-aac8-27225eadfbae
Seizure,Individual,2025-08-12,,2025,8,12,,Cocaine,7.0,Kilogram,Land,Drugs buried underground,South America,Brazil,Amapá,Macapá,,,,,,,,,,,,,,,,,,Police seized 7 kg of cocaine buried in a backyard in Macapá and arrested a 24-year-old alleged gang member.,,,,https://g1.globo.com/ap/amapa/noticia/2025/08/12/policia-prende-suspeito-de-trafico-com-cocaina-enterrada-em-quintal-na-zona-sul-de-macapa.ghtml,Archived Link - Brazil,,38f71033-1014-4f2b-b469-0f248c72ce21
Seizure,Individual,2025-08-20,,2025,8,20,,Cocaine,7.0,Kilogram,Land,Vehicle and residence,South America,Brazil,Sergipe,Nossa Senhora do Socorro,,,,South America,Brazil,Sergipe,Nossa Senhora do Socorro,,,,,,,,,,,Approximately 7 kg of cocaine hydrochloride found during operation in vehicle and residence,,,,https://www.gov.br/pf/pt-br/assuntos/noticias/2025/08/ficco-se-apreende-7kg-cocaina-em-nossa-senhora-do-socorro-se,Archived Link - Brazil,,61898385-77af-4ac0-9f0f-c78c63d7081b
Seizure,Individual,2025-06-02,,2025,6,2,,Cocaine,8.0,Kilogram,Land,,South America,Argentina,Chaco,Makallé,,,,South America,Argentina,Chaco,Makallé,,,,,,,,,,,"two women, aged 19 and 25, were arrested in Chaco, Argentina, while traveling on a long-distance bus from Salta to Posadas, Misiones. They were found with over 8 kilograms of high-purity cocaine concealed in their belongings.",,,,https://www.elesquiu.com/policiales/2025/6/2/viajaban-con-una-bebe-mas-de-kilos-de-cocaina-556112.html,Archived Link - Argentina,,129c394d-5793-4f74-9963-90f20908db77
Seizure,Individual,2025-09-15,,2025,9,15,,Cocaine,8.0,Kilogram,Land,Body-carried by two individuals on Route 34 checkpoint,South America,Argentina,Tucumán,7 de Abril,,,,,,,,,,,,,,,,,,"Two Bolivian citizens were intercepted on Route 34 in 7 de Abril, Tucumán, Argentina, carrying a total of 8.985 Kilograms of cocaine in body-wrapped packages. The drugs tested positive in field Narcotests.",,,,https://www.argentina.gob.ar/noticias/gna-detuvo-una-pareja-que-llevaba-cocaina-en-el-cuerpo,Archived Link - Argentina,,fc5f9175-916e-46fb-ba8c-9d8ac0c7f790
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,9.0,Other (explain in Description),Air,Hammocks impregnated with cocaine,Caribbean,Dominican Republic,Santo Domingo,Santo Domingo Este (AILA),Dominican Republic,Santo Domingo Este,,,,,,Europe,Spain,,,,,,Europe,Netherlands,,Authorities intercepted 9 hammocks impregnated with cocaine at AILA; destined for Spain and Netherlands.,,,,https://elnuevodiario.com.do/video-dncd-frustra-envio-de-hamacas-de-tela-impregnadas-con-presunta-cocaina/ ,Archived Link - Dominican Republic,,e2790383-bb11-4a21-9410-6c63d5c73185
Seizure,Individual,2025-09-29,,2025,9,29,,Cocaine,9.0,Other (explain in Description),Air,Hammocks impregnated with cocaine,Caribbean,Dominican Republic,Santo Domingo,Santo Domingo Este (AILA),,,,,,,,Europe,Spain,,,,,,Europe,Netherlands,,Authorities intercepted 9 hammocks impregnated with cocaine at AILA; destined for Spain and Netherlands.,,,,https://elnuevodiario.com.do/video-dncd-frustra-envio-de-hamacas-de-tela-impregnadas-con-presunta-cocaina/ ,Archived Link - Dominican Republic,,e6f90942-d551-49db-ba22-af42c3a52b7f
Seizure,Individual,2025-04-23,,2025,4,23,,Cocaine,10.0,Kilogram,Land,,South America,Argentina,Salta,,,,,South America,Argentina,Salta,,,,,,,,,,,,Un hombre llevaba 10 kilogramos de cocaína en un camión de mudanza mientras transitaba por una ruta de la provincia de Salta.,,,,https://www.argentina.gob.ar/noticias/salta-simulaba-realizar-una-mudanza-para-llevar-mas-de-10-kilos-de-cocaina-dentro-de-dos,Archived Link - Argentina,,80ca593f-30fd-4cf1-808a-1de9dc9ec649
Seizure,Individual,2025-07-27,,2025,7,27,,Cocaine,10.0,Kilogram,Land,,South America,Argentina,Río Negro,General Roca,,,,,,,,,,,,,,,,,,Operation “Ola Polar”: 10+ kg of cocaine seized in General Roca. 3 people detained. Cocaine hidden in homes used for storage/distribution. Investigation started by anonymous tip. Estimated value: $77 million pesos.,,,,https://www.lmcipolletti.com/policiales/golpe-al-narcotrafico-alto-valle-secuestran-mas-10-kilos-cocaina-y-detienen-tres-personas-n1201437,Archived Link - Argentina,,b55e2709-7f40-4a66-b1ac-07786a55d05f
Seizure,Individual,2025-09-24,,2025,9,24,,Cocaine Base,10.0,Kilogram,Land,,South America,Brazil,Sao Paulo,Nova Odessa,,,,South America,Brazil,Sao Paulo,Nova Odessa,,,,,,,,,,,Police arrested a man in Nova Odessa with 10 kg of base paste cocaine; the drug was found in his home.,,,,https://g1.globo.com/sp/piracicaba-regiao/noticia/2025/09/24/homem-e-preso-por-trafico-de-drogas-com-10-kg-de-pasta-base-de-cocaina-em-nova-odessa.ghtml,Archived Link - Brazil,,cfbc37be-9bf3-4709-a507-a318ee0848f6
Seizure,Individual,2025-09-20,,2025,9,20,,Cocaine,10.0,Kilogram,Land,,South America,Brazil,Goiás , Montividiu,,,,South America,Brazil,Goiás , Montividiu,,,,,,,,,,," PRF intercepted a truck on BR-364 in Montividiu, Goiás, seizing 10 kg of cocaine within a total of approx. 80 kg of drugs including skunk; driver arrested. ",,,,https://www.gov.br/prf/pt-br/noticias/estaduais/goias/2025/setembro/prf-intercepta-cerca-de-80-kg-de-drogas-em-montividiu-go,Archived Link - Brazil,,116d3d3b-e54a-4960-89c5-cfaa539235a4
Seizure,Individual,2025-07-16,,2025,7,16,,Cocaine,11.0,Kilogram,Land,,Europe,Italy,Lombardy,Milan,,,,,,,,,,,,,,,,,,"Police officers arrested a 23-year-old Moroccan man, seized 11 kilos of cocaine",,,,https://pocketnews.it/spacciava-cocaina-in-moto-23enne-arrestato-con-11-kg-di-droga-e-66mila-euro-in-contanti/,Archived Link - Italy,,a1c5b33d-03e7-41d2-bf86-f30fdd781be2
Seizure,Individual,2025-08-11,,2025,8,11,,Cocaine,11.0,Kilogram,Land,House search,Europe,Italy,Turin,Nichelino,,,,,,,,,,,,,,,,,,"Police seized 11 kg of cocaine, arrested 2 Albanian men and 1 Italian woman; materials for packaging found in rural property linked to suspects.",,,,https://www.giornalelavoce.it/news/cronaca/617489/blitz-antidroga-a-nichelino-tre-arresti-e-sequestrati-oltre-11-chili-di-cocaina.html,Archived Link - Italy,,8906b2bb-0815-460e-b971-e70dae99b729
Seizure,Individual,2025-05-29,,2025,5,29,,Cocaine,12.0,Kilogram,Land,,South America,Argentina,Tucumán,,,,,,,,,,,,,,,,,,,A citizen filled two fire extinguishers with 12 kilos of cocaine and was arrested. ,,,,https://www.argentina.gob.ar/noticias/tucuman-un-ciudadano-relleno-dos-matafuegos-con-12-kilos-de-cocaina-y-quedo-detenido,Archived Link - Argentina,,e0a7632b-5627-4cdd-8625-66e0e1c2a246
Seizure,Individual,2025-08-18,,2025,8,18,,Other (explain in Description),12.0,Kilogram,Land,,South America,Argentina,Salta,San Carlos,,,,South America,Argentina,Salta,San Carlos,,,,,,,,,,,12 kilos de hoja de coca transportada en un camión destino Mendoza.,,,,https://www.argentina.gob.ar/noticias/en-san-juan-incautaron-mas-de-1-kilo-de-cocaina-y-12-kilos-de-hojas-de-coca,Archived Link - Argentina,,4f4faca1-517d-4d82-807a-b4bb34005cfa
Seizure,Individual,2025-09-28,,2025,9,28,,Cocaine,13.4,Kilogram,Container,Concealed in body cream containers at Lagos airport,Africa,Nigeria,Lagos,Ikeja / MMIA,,,,,,,,,,,,,,,,,,NDLEA intercepted 13.4 kg of cocaine concealed in body cream containers at Lagos international airport.,,,,https://www.msn.com/en-xl/news/other/ndlea-intercepts-europe-bound-cocaine-in-lagos-nabs-suspected-bandits-suppliers-in-borno-yobe/ar-AA1NReDw,,,41af51e2-95ff-441a-8f9c-ac98299ecd71
Seizure,Individual,2025-10-05,,2025,10,5,,Cocaine,13.4,Kilogram,Container,Found in body-cream containers destined for UK,Africa,Nigeria,Lagos,MMIA Ikeja,,,,,,,,,,,,,,,,,,"Shipments to UK intercepted in containers hidden in cream/gels. Multiple shipments, kingpin arrested.",,,,https://saharareporters.com/2025/10/05/nigerian-authorities-foil-multiple-cocaine-export-attempts-uk-arrest-kingpin-five-others,,,dcba78b5-f930-49c2-9735-59857f1a04d2
Seizure,Individual,2025-03-31,,2025,3,31,,Cocaine Base,14.0,Kilogram,Land,,South America,Argentina,Jujuy,Yuto,,,,South America,Argentina,Salta,Aguas Blancas,South America,Argentina,Jujuy,Yuto,,,,,,,Autoridades argentinas decomisaron 14 kilos de pasta base de coca que habían sido escondidas en una encomienda. La droga era transportada en un bus intermunicipal que venía de la provincia fronteriza de Salta. ,,,,https://www.argentina.gob.ar/noticias/jujuy-acondiciono-14-kilos-de-pasta-base-dentro-de-un-parlante,Archived Link - Argentina,,4ccd5fb7-3fa9-491c-ad28-e1897310f360
Seizure,Individual,2025-09-16,,2025,9,16,,Cocaine,14.0,Kilogram,Land,"Hidden in fuel tank, sprayed with perfume to evade dogs",South America,Argentina,Salta,Ruta Provincial 5,,,,,,,,,,,,,,,,,,"GNA seized 14 Kilograms of cocaine hidden in the fuel tank of a car on Ruta Provincial 5, Salta.",,,,https://www.eltribuno.com/policiales/2025-9-14-7-26-0-ruta-provincial-5-sigue-siendo-el-corredor-del-narcotrafico-otro-golpe-con-perfume-arabe-y-cocaina,Archived Link - Argentina,,6e5bed68-ed87-45aa-9750-89651ba73b24
Seizure,Individual,2025-02-02,,2025,2,2,,Cocaine,20.0,Kilogram,Land,,North America,United States,Florida,Baldwin Park,,,,,Mexico,,,,,,,,United States,Florida,Baldwin Park,,,"Según el acuerdo de culpabilidad, el 17 de octubre de 2022, la Administración para el Control de Drogas (DEA) recibió información de que los conspiradores James Mirabal y Jonathan Beharry estaban organizando una entrega de 20 kilogramos de cocaína, cada uno de los cuales Beharry planeaba vender por $20,000. Agentes de la DEA vigilaron a Beharry cuando se reunió con un individuo en un estacionamiento que conducía una camioneta con matrícula de Texas, conducida por Trevino con Ibarra en el asiento del copiloto. Trevino le entregó una maleta a Beharry que contenía cocaína por valor de $400,000. ",,,,https://www.justice.gov/usao-mdfl/pr/el-paso-conspirators-plead-guilty-delivering-20-kilograms-mexican-cocaine-baldwin-park,Archived Link - United States,MAD,2e4c3fdb-31de-43aa-9d06-64e6ab4b3573
Seizure,Individual,2025-07-20,,2025,7,20,,Cocaine,20.0,Kilogram,Land,,North America,United States,Texas,Ysleta Port of Entry,,,,North America,Mexico,,,,,,,,United States,,,,,20 kg of cocaine found hidden in a secret compartment under the rear seat of a Ford Explorer during a canine inspection at the Ysleta Port of Entry at the US‑Mexico border.,,,,https://www.infobae.com/mexico/2025/07/23/mujer-estadounidense-es-detenida-por-agentes-cbp-con-cargamento-de-cocaina-que-provenia-desde-mexico/,Archived Link - United States,,e33db840-4c9f-4cad-989a-708ca17a393a
Seizure,Individual,2025-06-09,,2025,6,9,,Cocaine Base,24.0,Kilogram,Land,,South America,Colombia,Antioquia,Medellín,,,,,,,,,,,,,,,,,,"En Manrique se produjo el resultado más númeroso en cuanto a capturas e incautaciones. Allí, cayeron seis hombres entre los 18 y 48 años y fueron incautados 24.170 dosis de base de cocaína, 5.060 dosis de anfetaminas, 17.665 gramos de marihuana, 60 vapeadores de marihuana, un arma de fuego y nueve cartuchos, además de tres teléfonos celulares. Este golpe se produjo simultáneamente, en varias de las guaridas más importantes del nororiente de Medellín. ",,,,https://www.eltiempo.com/colombia/medellin/masivo-allanamiento-a-las-guaridas-de-expendio-de-la-terraza-y-caicedo-en-medellin-11-personas-fueron-capturadas-3461397,Archived Link - Colombia,,0a4a1281-d4ff-4c37-969f-55b02beffc14
Seizure,Individual,2025-09-05,,2025,9,5,,Cocaine,24.0,Kilogram,Land,Found on passenger at pier,South America,Colombia,Valle del Cauca,Buenaventura (muelle turístico),,,,,,,,,,,,,,,,,,"En el marco del Plan de Intervención a Buenaventura, la Policía Nacional logró en las últimas horas la captura de un hombre de 23 años en el muelle turístico de la ciudad. El procedimiento se desarrolló durante actividades de registro y control en el sector, donde las unidades policiales identificaron al sujeto. Tras una inspección, se le hallaron 24.000 gramos de clorhidrato de cocaína, ocultos entre sus pertenencias.",,,,https://www.policia.gov.co/noticia/capturado-en-muelle-turistico-buenaventura-con-24-kilos-cocaina,Archived Link - Colombia,,35a78a7f-4038-4545-8088-84c44d5041cf
Seizure,Individual,2025-05-03,,2025,5,3,,Cocaine,24.0,Kilogram,Land,,Europe,Italy,Toscana,Lucca,,,,Africa,Mali,Bamako,,,,,,Europe,Italy,,Florence,,Versilia,"24 kg of cocaine found inside warehouse in Lucca, allegedly set to supply dealers in Versilia and Florence.",,,,https://www.firenzetoday.it/cronaca/cocaina-capannori-lucca.html,Archived Link - Italy,,f58443cc-d465-44a1-a116-c82abb960b34
Seizure,Individual,2025-05-09,,2025,5,9,,Cocaine,24.0,Kilogram,Land,,Europe,Italy,Lombardy,Milano,,,,,,,,,,,,,,,,,,"Man was stopped in the province of Milan during a routine road check that that uncovered 24 kg of cocaine - along with multiple smartphones, which will be analyzed to reconstruct the network of contacts and identify any accomplices or suppliers.",,,,https://primapavia.it/cronaca/maxi-sequestro-di-cocaina-arrestato-imprenditore-trovato-con-24-chili-di-droga/,Archived Link - Italy,,ecaef127-07c8-49b5-ab4c-3d17d0c9f6f9
Seizure,Individual,2025-07-24,,2025,7,24,,Cocaine,24.0,Kilogram,Land,,Europe,Italy,Sicily,Catania,,,,Europe,Spain,,,,,,,,,,,,,24 kg of cocaine discovered in two suspicious packages shipped from Spain and carried in a courier van around Catania; driver arrested after erratic route triggered intervention; valued at over €5 M.,,,,https://siracusapress.it/cronache-siciliane/catania-sequestrati-24-chili-di-cocaina-arrestato-corriere-di-societa-di-spedizioni/,Archived Link - Italy,,fc3170df-6ea4-46ad-9bab-2df2e45d7fa3
Seizure,Individual,2025-07-20,,2025,7,20,,Cocaine,25.0,Kilogram,Container,inside refrigeration,Africa,Morocco,Tanger‑Tétouan-Al Hoceima,Tanger Med Port,,,,South America,,,,Europe,Netherlands,,,,,,,,,Single seizure of 25 kg raw cocaine hidden in 23 bricks in a refrigerated container from South America to Netherlands; investigation opened by Tanger judicial police under DGSN; no info on origin groups,,,,"https://www.barlamane.com/fr/une-cargaison-de-25-kilogrammes-de-cocaine-brute-saisie-au-port-de-tanger-med/ (afropages.fr, barlamane.com)",Archived Link - Morocco,,2f70a9a4-c36c-47c7-8328-0a3223d3017e
